Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,4347394,4439156,4535392,4636170,4741527,4851553,4964718,5080813,5202606,5333936,5476630,5630099,5790327,5951120,6104377,6242891,6369361,6482150,6565176,6597855,6568227,6472949,6324845,6149028,5980043,5846315,5747657,5686382,5695339,5814528,6067694,6477343,7024451,7639816,8227017,8718035,9082951,9344885,9553498,9784258,10090449,10489238,10958668,11466237,11962963,12414590,12809162,13161572,13496556,13850751,14249755,14702050,15196504,15715314,16232001,16727437,17196034,17644126,18078879,18512030,18952076
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,4649573,4730250,4816050,4907030,5003245,5104765,5210122,5319123,5434458,5559836,5697024,5845351,6000895,6157843,6308583,6446273,6573732,6689144,6776023,6813205,6788273,6698730,6557673,6388704,6224263,6091889,5988520,5918156,5922669,6054345,6344617,6821673,7461092,8176785,8848711,9392627,9770493,10012241,10184272,10386589,10689508,11117754,11642106,12214634,12763726,13239684,13623896,13938970,14225725,14544055,14935756,15415361,15964874,16554278,17138803,17686166,18186994,18651985,19093043,19529727,19976265
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996967,9169406,9351442,9543200,9744772,9956318,10174840,10399936,10637064,10893772,11173654,11475450,11791222,12108963,12412960,12689164,12943093,13171294,13341199,13411060,13356500,13171679,12882518,12537732,12204306,11938204,11736177,11604538,11618008,11868873,12412311,13299016,14485543,15816601,17075728,18110662,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.111111,548888895.555556,546666677.777778,751111191.111111,800000044.444444,1006666637.77778,1399999966.66667,1673333417.77778,1373333366.66667,1408888922.22222,1748886595.55556,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.61098,3641723321.99546,3478787909.09091,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109225813.6696,12439087076.7667,15856574731.441,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,18017749073.6362,18869945678.4215,18353881129.5246,19291104007.6135,19807067268.1084
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,33.314,33.84,34.359,34.866,35.364,35.853,36.338,36.823,37.314,37.815,38.327,38.851,39.385,39.931,40.49,41.064,41.656,42.265,42.894,43.541,44.209,44.899,45.607,46.331,47.066,47.807,48.55,49.29,50.023,50.742,51.442,52.119,52.774,53.405,54.012,54.592,55.141,55.663,56.162,56.645,57.12,57.596,58.08,58.578,59.093,59.628,60.183,60.751,61.326,61.898,62.459,63,63.514,63.999,64.453,64.877,65.275,65.656,66.026,66.388,..
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,31.718,32.224,32.724,33.216,33.7,34.18,34.656,35.133,35.615,36.106,36.607,37.12,37.644,38.18,38.729,39.293,39.874,40.473,41.09,41.723,42.372,43.037,43.715,44.403,45.097,45.796,46.499,47.204,47.906,48.601,49.281,49.938,50.57,51.172,51.746,52.287,52.798,53.285,53.753,54.21,54.663,55.119,55.583,56.056,56.542,57.044,57.562,58.092,58.626,59.159,59.683,60.19,60.675,61.133,61.563,61.965,62.343,62.701,63.047,63.382,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.446,32.962,33.471,33.971,34.463,34.948,35.43,35.914,36.403,36.9,37.409,37.93,38.461,39.003,39.558,40.128,40.715,41.32,41.944,42.585,43.244,43.923,44.617,45.324,46.04,46.761,47.486,48.211,48.93,49.64,50.331,50.999,51.641,52.256,52.842,53.398,53.924,54.424,54.906,55.376,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833,..
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.80316353,17.03574371,20.4127636,23.89050102,27.83657074,31.27183914,38.10266113,41.72274399,44.99053192,50.85347366,51.44026184,55.03462982,59.00893402,58.90652847,60.18867111,65.70602417,49.84260941,..,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7732337032148,59.8608999923829,58.4580086983139,78.7064287776753,82.0953065340517,101.108325163758,137.594297961115,160.898434161304,129.108310965006,129.329760364199,156.518771348706,159.567508996258,135.317227981591,143.144649500081,173.653624742026,186.510838346447,197.445507551145,224.225001566116,247.354087806417,275.738115377232,272.655510200686,264.111197144336,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.660679028164,438.076142403179,543.302967401909,591.162798293135,641.871437960934,637.165463951798,613.856505217398,578.466352941708,509.220100485356,519.888912573073,493.756581366026,507.103391875763,508.808409485223
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,781769,806619,831763,856833,881990,906689,930924,955715,983247,1012156,1038402,1064057,1091186,1117546,1143735,1170481,1196620,1223320,1248859,1273859,1300202,1326732,1355555,1385115,1414748,1443843,1470768,1498508,1525951,1569250,1603543,1604790,1610302,1617124,1620663,1617400,1605627,1586848,1564426,1543050,1525873,1509233,1506138,1504374,1502239,1497383,1489229,1478257,1466219,1454862,1445588,1438949,1433116,1426832,1420670,1414246,1410814,1409327,1406333,1401011,1393417
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,827031,853181,879556,905788,932145,958102,983649,1009883,1039025,1069539,1097077,1123796,1151940,1179206,1206389,1234350,1261906,1290226,1317407,1343973,1371795,1399324,1428723,1458845,1489681,1520919,1551867,1585097,1616385,1658693,1682999,1662000,1636737,1610163,1586873,1570384,1562406,1561433,1564104,1565728,1563154,1550940,1544872,1535242,1524700,1514104,1503318,1491760,1481095,1472657,1467433,1466246,1467285,1468260,1468434,1466457,1465287,1464130,1460043,1453180,1444326
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837743
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1857338011.85488,1897050133.42015,2097326250,2080796250,2051236250,2253090000,2028553750,1099559027.77778,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199642579.96974,2258515610.08862,2545967253.2416,3212119044.17089,3480355188.60063,3922099470.97313,4348070165.19261,5611492282.86582,7184681398.5698,8052075642.10781,8896073938.31407,10677321490.3807,12881354103.8398,12044223352.5413,11926928505.5231,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4706,13019693450.8816,15147020535.3869,15286612572.6895,14799615097.1008
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.247,64.325,65.261,66.017,66.585,66.987,67.273,67.517,67.779,68.084,68.441,68.839,69.247,69.64,70.014,70.369,70.71,71.046,71.384,71.729,72.09,72.479,72.893,73.323,73.754,74.156,74.492,74.744,74.903,74.977,74.991,74.98,74.985,75.039,75.158,75.352,75.618,75.931,76.269,76.616,76.953,77.263,77.538,77.777,77.982,78.165,78.349,78.551,78.781,79.037,79.302,79.554,79.77,79.934,80.045,80.107,80.134,80.148,80.167,80.201,..
